 ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON
13,David Lee,Golden State Warriors,32,4,3,1,9.7,5.5,2.0,3.8,53.3,0.0,0.0,0.0,1.5,2.8,54.5,0.5,2.0,2.5,1.5,0.3,0.3,0.0,2.0,11.3,0.0,0.0,4.0,2015
14,Leandro Barbosa,Golden State Warriors,32,6,4,2,10.7,5.2,2.0,4.3,46.2,0.5,1.2,42.9,0.7,0.7,100,0.3,1.3,1.7,0.5,0.7,0.5,0.2,1.2,9.3,0.0,0.0,2.0,2015
15,Shaun Livingston,Golden State Warriors,29,6,4,2,20.1,5.0,2.0,4.2,48.0,0.0,0.2,0.0,1.0,1.3,75.0,0.8,2.7,3.5,2.2,1.0,0.3,0.3,1.8,13.5,0.0,0.0,2.7,2015
16,Festus Ezeli,Golden State Warriors,25,5,3,2,10.0,4.4,1.4,3.0,46.7,0.0,0.0,0.0,1.6,2.2,72.7,1.4,2.0,3.4,0.4,0.8,0.0,0.6,1.8,10.1,0.0,0.0,-3.0,2015
17,James Jones,Cleveland Cavaliers,34,6,2,4,18.8,3.3,1.0,3.2,31.6,0.7,2.2,30.8,0.7,0.7,100,0.0,1.3,1.3,0.3,0.7,0.7,0.2,3.2,7.3,0.0,0.0,-0.7,2015
18,Marreese Speights,Golden State Warriors,27,3,2,1,5.3,3.0,1.3,4.3,30.8,0.0,0.0,0.0,0.3,0.7,50.0,1.0,0.7,1.7,0.3,0.3,0.3,0.0,1.0,6.2,0.0,0.0,3.0,2015
19,Andrew Bogut,Golden State Warriors,30,4,2,2,18.4,2.5,1.0,2.3,44.4,0.0,0.0,0.0,0.5,1.0,50.0,1.3,4.8,6.0,1.5,1.0,0.3,1.3,2.8,15.5,0.0,0.0,-4.8,2015
20,Kendrick Perkins,Cleveland Cavaliers,30,1,0,1,3.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2,0.0,0.0,-2.0,2015
21,Mike Miller,Cleveland Cavaliers,35,5,2,3,5.7,0.6,0.2,0.4,50.0,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.6,1.2,0.0,0.0,1.0,2015
22,Joe Harris,Cleveland Cavaliers,23,2,0,2,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.0,2015
23,James Michael McAdoo,Golden State Warriors,22,1,1,0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,-1.0,2015
23,Justin Holiday,Golden State Warriors,26,1,1,0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
1,LeBron James,Cleveland Cavaliers,33,4,0,4,44.7,34.0,12.3,23.3,52.7,1.5,4.5,33.3,8.0,9.5,84.2,2.3,6.3,8.5,10.0,5.0,1.3,1.0,2.8,61.0,2.0,1.0,-15.0,2018
2,Kevin Durant,Golden State Warriors,29,4,4,0,41.3,28.8,10.0,19.0,52.6,2.3,5.5,40.9,6.5,6.8,96.3,0.5,10.3,10.8,7.5,2.3,0.8,2.3,3.0,59.7,2.0,1.0,21.5,2018
3,Stephen Curry,Golden State Warriors,30,4,4,0,40.6,27.5,9.3,23.0,40.2,5.5,13.3,41.5,3.5,3.5,100,0.8,5.3,6.0,6.8,2.8,1.5,0.8,2.8,48.8,0.0,0.0,11.8,2018
4,Kevin Love,Cleveland Cavaliers,29,4,0,4,33.2,19.0,6.5,16.0,40.6,2.3,7.0,32.1,3.8,4.0,93.8,3.5,7.8,11.3,1.8,1.3,1.0,0.3,1.5,37.6,3.0,0.0,-13.0,2018
5,Klay Thompson,Golden State Warriors,28,4,4,0,37.0,16.0,6.0,12.5,48.0,3.0,7.0,42.9,1.0,1.3,80.0,0.0,3.8,3.8,1.0,1.3,0.5,0.3,3.0,23.0,0.0,0.0,13.3,2018
6,Andre Iguodala,Golden State Warriors,34,2,2,0,22.3,9.5,3.5,6.0,58.3,1.5,3.0,50.0,1.0,1.0,100,0.5,1.5,2.0,0.5,0.5,1.5,1.0,3.0,19.7,0.0,0.0,12.5,2018
6,JR Smith,Cleveland Cavaliers,32,4,0,4,32.5,9.5,3.3,10.3,31.7,2.3,6.3,36.0,0.8,1.3,60.0,1.0,2.3,3.3,1.3,0.8,1.3,0.0,2.0,18.3,0.0,0.0,-13.3,2018
8,Draymond Green,Golden State Warriors,28,4,4,0,41.4,9.3,3.8,7.3,51.7,0.8,3.5,21.4,1.0,1.3,80.0,1.0,5.0,6.0,8.5,1.3,2.0,1.5,4.5,38.5,1.0,0.0,10.8,2018
9,JaVale McGee,Golden State Warriors,30,4,4,0,13.8,8.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,1.3,2.3,0.0,0.3,0.0,1.3,1.5,14.2,0.0,0.0,7.8,2018
10,George Hill,Cleveland Cavaliers,32,4,0,4,29.2,7.5,2.5,7.8,32.3,1.8,4.0,43.8,0.8,1.5,50.0,1.3,1.0,2.3,2.3,1.5,0.8,0.3,4.0,15.1,0.0,0.0,-12.5,2018
10,Shaun Livingston,Golden State Warriors,32,4,4,0,16.2,7.5,3.3,3.8,86.7,0.0,0.0,0.0,1.0,1.0,100,0.3,2.5,2.8,1.5,0.3,0.3,0.0,1.8,13.6,0.0,0.0,4.0,2018
12,Rodney Hood,Cleveland Cavaliers,25,4,0,4,14.1,6.8,3.0,6.8,44.4,0.3,1.3,20.0,0.5,0.8,66.7,1.3,2.5,3.8,0.8,0.5,0.5,0.5,1.0,14.9,0.0,0.0,-3.5,2018
12,Tristan Thompson,Cleveland Cavaliers,27,4,0,4,23.4,6.8,3.3,6.3,52.0,0.0,0.0,0.0,0.3,0.8,33.3,2.0,3.3,5.3,0.0,0.3,0.0,0.8,1.8,15.1,0.0,0.0,-8.3,2018
14,Jordan Bell,Golden State Warriors,23,4,4,0,13.5,5.8,2.5,3.5,71.4,0.0,0.3,0.0,0.8,1.5,50.0,1.0,2.3,3.3,1.0,0.0,0.3,0.5,1.0,13.4,0.0,0.0,2.5,2018
14,Larry Nance Jr.,Cleveland Cavaliers,25,4,0,4,17.1,5.8,2.3,4.5,50.0,0.0,0.0,0.0,1.3,3.0,41.7,3.8,3.3,7.0,1.5,0.5,0.5,0.5,1.8,18.9,0.0,0.0,-3.5,2018
16,Jeff Green,Cleveland Cavaliers,31,4,0,4,24.4,5.3,2.0,7.0,28.6,0.8,3.5,21.4,0.5,0.5,100,0.5,0.8,1.3,2.0,0.5,0.3,0.3,0.8,10.8,0.0,0.0,-8.0,2018
17,Zaza Pachulia,Golden State Warriors,34,2,2,0,3.1,4.0,0.5,1.5,33.3,0.0,0.0,0.0,3.0,3.0,100,0.5,1.0,1.5,0.0,0.5,0.0,0.5,0.0,6.8,0.0,0.0,-2.0,2018
