 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
6,Atlanta Hawks,6,4,2,.667,48.8,101.8,38.3,87.0,44.1,11.2,31.5,35.4,14.0,18.0,77.8,10.0,35.7,45.7,25.7,13.3,10.0,4.7,3.3,18.5,19.0,5.5,2015
6,Chicago Bulls,6,4,2,.667,49.7,100.8,36.5,83.5,43.7,11.2,28.0,39.9,16.7,23.0,72.5,11.3,38.7,50.0,26.2,17.5,7.7,7.0,6.7,18.8,21.2,12.3,2015
8,LA Clippers,7,4,3,.571,48.7,103.0,38.7,83.0,46.6,7.0,21.0,33.3,18.6,28.7,64.7,9.4,35.4,44.9,21.0,12.4,7.4,6.1,4.7,20.9,24.9,-0.4,2015
9,San Antonio Spurs,7,3,4,.429,48.7,103.4,38.3,85.3,44.9,9.6,26.1,36.6,17.3,25.4,68.0,11.7,34.7,46.4,24.1,12.1,6.1,4.7,6.1,24.9,20.9,0.4,2015
10,Brooklyn Nets,6,2,4,.333,48.8,96.3,36.2,83.2,43.5,8.5,24.0,35.4,15.5,20.8,74.4,9.5,35.0,44.5,21.7,14.3,7.5,3.3,4.7,19.0,18.5,-5.5,2015
10,Milwaukee Bucks,6,2,4,.333,49.7,88.5,34.2,88.2,38.8,5.5,18.2,30.3,14.7,20.8,70.4,12.2,31.5,43.7,20.3,13.2,10.8,6.7,7.0,21.2,18.8,-12.3,2015
12,Dallas Mavericks,5,1,4,.200,48.0,110.0,41.6,92.0,45.2,7.6,24.4,31.1,19.2,25.2,76.2,13.6,33.8,47.4,21.2,14.2,7.0,4.6,5.2,27.2,24.6,-4.2,2015
12,Portland Trail Blazers,5,1,4,.200,48.0,93.8,33.4,83.6,40.0,9.2,26.2,35.1,17.8,21.6,82.4,10.0,34.2,44.2,16.6,11.6,3.4,5.2,6.2,20.6,20.0,-6.8,2015
14,Boston Celtics,4,0,4,.000,48.0,94.8,34.8,82.8,42.0,5.5,21.5,25.6,19.8,25.5,77.5,10.0,30.8,40.8,20.0,13.5,5.3,3.8,7.8,26.8,23.3,-9.3,2015
14,New Orleans Pelicans,4,0,4,.000,49.3,100.8,38.0,84.3,45.1,6.8,21.3,31.8,18.0,22.3,80.9,10.8,31.3,42.0,23.3,13.5,7.5,5.8,6.3,23.8,19.8,-8.0,2015
